source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
1,1,1,8,1,retained,0;1;2;3;4;5;6;7
2,2,2,8,1,retained,0;1;2;3;4;5;6;7
3,3,3,8,1,retained,0;1;2;3;4;5;6;7
4,4,4,8,1,retained,0;1;2;3;4;5;6;7
5,5,5,8,1,retained,0;1;2;3;4;5;6;7
6,6,6,8,1,retained,0;1;2;3;4;5;6;7
7,7,7,8,1,retained,0;1;2;3;4;5;6;7
8,8,8,8,1,retained,0;1;2;3;4;5;6;7
9,9,9,8,1,retained,0;1;2;3;4;5;6;7
10,10,10,8,1,retained,0;1;2;3;4;5;6;7
11,11,11,8,1,retained,0;1;2;3;4;5;6;7
12,12,12,8,1,retained,0;1;2;3;4;5;6;7
13,13,13,8,1,retained,0;1;2;3;4;5;6;7
14,14,14,8,1,retained,0;1;2;3;4;5;6;7
15,15,15,8,1,retained,0;1;2;3;4;5;6;7
16,16,16,8,1,retained,0;1;2;3;4;5;6;7
17,17,17,8,1,retained,0;1;2;3;4;5;6;7
18,18,18,8,1,retained,0;1;2;3;4;5;6;7
19,19,19,8,1,retained,0;1;2;3;4;5;6;7
20,20,20,8,1,retained,0;1;2;3;4;5;6;7
21,21,21,8,1,retained,0;1;2;3;4;5;6;7
22,22,22,8,1,retained,0;1;2;3;4;5;6;7
23,23,23,8,1,retained,0;1;2;3;4;5;6;7
24,24,24,8,1,retained,0;1;2;3;4;5;6;7
25,25,25,8,1,retained,0;1;2;3;4;5;6;7
26,26,26,8,1,retained,0;1;2;3;4;5;6;7
27,27,27,8,1,retained,0;1;2;3;4;5;6;7
28,28,28,8,1,retained,0;1;2;3;4;5;6;7
29,29,29,8,1,retained,0;1;2;3;4;5;6;7
30,30,30,8,1,retained,0;1;2;3;4;5;6;7
31,31,31,8,1,retained,0;1;2;3;4;5;6;7
32,32,32,8,1,retained,0;1;2;3;4;5;6;7
33,33,33,8,1,retained,0;1;2;3;4;5;6;7
34,34,34,8,1,retained,0;1;2;3;4;5;6;7
35,35,35,8,1,retained,0;1;2;3;4;5;6;7
36,36,36,8,1,retained,0;1;2;3;4;5;6;7
37,37,37,8,1,retained,0;1;2;3;4;5;6;7
38,38,38,8,1,retained,0;1;2;3;4;5;6;7
39,39,39,8,1,retained,0;1;2;3;4;5;6;7
40,40,40,8,1,retained,0;1;2;3;4;5;6;7
41,41,41,8,1,retained,0;1;2;3;4;5;6;7
42,42,42,8,1,retained,0;1;2;3;4;5;6;7
43,43,43,8,1,retained,0;1;2;3;4;5;6;7
44,44,44,8,1,retained,0;1;2;3;4;5;6;7
45,45,45,8,1,retained,0;1;2;3;4;5;6;7
46,46,46,8,1,retained,0;1;2;3;4;5;6;7
47,47,47,8,1,retained,0;1;2;3;4;5;6;7
48,48,48,8,1,retained,0;1;2;3;4;5;6;7
49,49,49,8,1,retained,0;1;2;3;4;5;6;7
50,50,50,8,1,retained,0;1;2;3;4;5;6;7
51,51,51,8,1,retained,0;1;2;3;4;5;6;7
52,52,52,8,1,retained,0;1;2;3;4;5;6;7
53,53,53,8,1,retained,0;1;2;3;4;5;6;7
54,54,54,8,1,retained,0;1;2;3;4;5;6;7
55,55,55,8,1,retained,0;1;2;3;4;5;6;7
56,56,56,8,1,retained,0;1;2;3;4;5;6;7
57,57,57,8,1,retained,0;1;2;3;4;5;6;7
58,58,58,8,1,retained,0;1;2;3;4;5;6;7
59,59,59,8,1,retained,0;1;2;3;4;5;6;7
60,60,60,8,1,retained,0;1;2;3;4;5;6;7
61,61,61,8,1,retained,0;1;2;3;4;5;6;7
62,62,62,8,1,retained,0;1;2;3;4;5;6;7
63,63,63,8,1,retained,0;1;2;3;4;5;6;7
64,64,64,8,1,retained,0;1;2;3;4;5;6;7
65,65,65,8,1,retained,0;1;2;3;4;5;6;7
66,66,66,8,1,retained,0;1;2;3;4;5;6;7
67,67,67,8,1,retained,0;1;2;3;4;5;6;7
68,68,68,8,1,retained,0;1;2;3;4;5;6;7
69,69,69,8,1,retained,0;1;2;3;4;5;6;7
70,70,70,8,1,retained,0;1;2;3;4;5;6;7
71,71,71,8,1,retained,0;1;2;3;4;5;6;7
72,72,72,8,1,retained,0;1;2;3;4;5;6;7
73,73,73,8,1,retained,0;1;2;3;4;5;6;7
74,74,74,8,1,retained,0;1;2;3;4;5;6;7
75,75,75,8,1,retained,0;1;2;3;4;5;6;7
76,76,76,8,1,retained,0;1;2;3;4;5;6;7
77,77,77,8,1,retained,0;1;2;3;4;5;6;7
78,78,78,8,1,retained,0;1;2;3;4;5;6;7
79,79,79,8,1,retained,0;1;2;3;4;5;6;7
80,80,80,8,1,retained,0;1;2;3;4;5;6;7
81,81,81,8,1,retained,0;1;2;3;4;5;6;7
82,82,82,8,1,retained,0;1;2;3;4;5;6;7
83,83,83,8,1,retained,0;1;2;3;4;5;6;7
84,84,84,8,1,retained,0;1;2;3;4;5;6;7
85,85,85,8,1,retained,0;1;2;3;4;5;6;7
86,86,86,8,1,retained,0;1;2;3;4;5;6;7
87,87,87,8,1,retained,0;1;2;3;4;5;6;7
88,88,88,8,1,retained,0;1;2;3;4;5;6;7
89,89,89,8,1,retained,0;1;2;3;4;5;6;7
90,90,90,8,1,retained,0;1;2;3;4;5;6;7
91,91,91,8,1,retained,0;1;2;3;4;5;6;7
92,92,92,8,1,retained,0;1;2;3;4;5;6;7
93,93,93,8,1,retained,0;1;2;3;4;5;6;7
94,94,94,8,1,retained,0;1;2;3;4;5;6;7
95,95,95,8,1,retained,0;1;2;3;4;5;6;7
96,96,96,8,1,retained,0;1;2;3;4;5;6;7
97,7,7,8,1,new_labelling,0;1;2;3;4;6;5;7
98,8,8,8,1,new_labelling,0;1;2;7;4;3;5;6
99,1,1,8,1,new_labelling,0;1;2;7;3;4;5;6
100,3,3,8,1,new_labelling,0;2;1;7;3;6;4;5
101,9,9,8,1,new_labelling,0;1;2;7;3;4;6;5
102,4,4,8,1,new_labelling,0;2;1;7;3;6;4;5
103,12,12,8,1,new_labelling,0;1;2;3;6;7;4;5
104,5,5,8,1,new_labelling,0;2;1;7;3;6;4;5
105,36,36,8,1,literal_repeat,0;1;2;3;4;5;6;7
106,2,2,8,1,new_labelling,0;1;2;7;3;6;4;5
107,20,20,8,1,new_labelling,0;2;3;4;7;1;5;6
108,10,10,8,1,new_labelling,0;1;2;7;3;4;6;5
109,23,23,8,1,new_labelling,0;1;4;5;6;7;2;3
110,24,24,8,1,new_labelling,0;1;4;5;6;7;2;3
111,14,14,8,1,new_labelling,0;1;7;2;5;6;3;4
112,13,13,8,1,new_labelling,0;1;3;6;2;7;4;5
113,25,25,8,1,new_labelling,0;1;4;5;6;7;2;3
114,26,26,8,1,new_labelling,0;1;4;5;6;7;2;3
115,6,6,8,1,new_labelling,0;2;1;7;4;5;3;6
116,31,31,8,1,new_labelling,0;1;4;5;6;7;2;3
117,32,32,8,1,new_labelling,0;1;4;5;6;7;2;3
118,22,22,8,1,new_labelling,0;1;2;3;5;6;4;7
119,11,11,8,1,new_labelling,0;1;2;7;3;4;6;5
120,19,19,8,1,new_labelling,0;1;6;7;2;5;3;4
121,27,27,8,1,new_labelling,0;1;7;2;3;4;5;6
122,29,29,8,1,new_labelling,0;1;7;2;3;4;5;6
123,21,21,8,1,new_labelling,0;1;2;3;4;7;6;5
124,28,28,8,1,new_labelling,0;1;7;2;3;4;5;6
125,30,30,8,1,new_labelling,0;1;7;2;3;4;5;6
126,17,17,8,1,new_labelling,0;1;4;5;3;6;2;7
127,15,15,8,1,new_labelling,0;1;2;7;4;5;3;6
128,33,33,8,1,new_labelling,0;1;4;2;3;5;6;7
129,34,34,8,1,new_labelling,0;1;4;2;3;5;6;7
130,35,35,8,1,new_labelling,0;1;7;4;2;3;6;5
131,16,16,8,1,new_labelling,0;1;2;7;3;4;5;6
132,37,37,8,1,new_labelling,0;7;5;3;6;4;2;1
133,18,18,8,1,new_labelling,0;1;2;3;6;7;4;5
134,38,38,8,1,new_labelling,0;1;2;5;7;6;4;3
135,41,41,8,1,new_labelling,0;3;4;6;5;7;1;2
136,51,51,8,1,new_labelling,0;3;7;6;4;5;1;2
137,52,52,8,1,new_labelling,0;3;7;6;5;4;1;2
